2023-01-20 19:03:16,305 INFO    MainThread:92795 [wandb_setup.py:_flush():68] Configure stats pid to 92795
2023-01-20 19:03:16,306 INFO    MainThread:92795 [wandb_setup.py:_flush():68] Loading settings from /home/sadat/.config/wandb/settings
2023-01-20 19:03:16,306 INFO    MainThread:92795 [wandb_setup.py:_flush():68] Loading settings from /home/sadat/Desktop/csn-sign-autoencoder/wandb/settings
2023-01-20 19:03:16,306 INFO    MainThread:92795 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-20 19:03:16,306 INFO    MainThread:92795 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-01-20 19:03:16,306 INFO    MainThread:92795 [wandb_init.py:_log_setup():476] Logging user logs to /home/sadat/Desktop/csn-sign-autoencoder/wandb/run-20230120_190316-2c1p33bw/logs/debug.log
2023-01-20 19:03:16,306 INFO    MainThread:92795 [wandb_init.py:_log_setup():477] Logging internal logs to /home/sadat/Desktop/csn-sign-autoencoder/wandb/run-20230120_190316-2c1p33bw/logs/debug-internal.log
2023-01-20 19:03:16,306 INFO    MainThread:92795 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fc800631c10>
2023-01-20 19:03:16,306 INFO    MainThread:92795 [wandb_init.py:init():516] calling init triggers
2023-01-20 19:03:16,306 INFO    MainThread:92795 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-01-20 19:03:16,306 INFO    MainThread:92795 [wandb_init.py:init():569] starting backend
2023-01-20 19:03:16,307 INFO    MainThread:92795 [wandb_init.py:init():573] setting up manager
2023-01-20 19:03:16,311 INFO    MainThread:92795 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-01-20 19:03:16,318 INFO    MainThread:92795 [wandb_init.py:init():580] backend started and connected
2023-01-20 19:03:16,326 INFO    MainThread:92795 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2023-01-20 19:03:16,327 INFO    MainThread:92795 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-01-20 19:03:16,327 INFO    MainThread:92795 [wandb_init.py:init():658] updated telemetry
2023-01-20 19:03:16,362 INFO    MainThread:92795 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-20 19:03:19,126 INFO    MainThread:92795 [wandb_run.py:_on_init():2000] communicating current version
2023-01-20 19:03:19,360 INFO    MainThread:92795 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.13.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-01-20 19:03:19,360 INFO    MainThread:92795 [wandb_init.py:init():728] starting run threads in backend
2023-01-20 19:03:21,565 INFO    MainThread:92795 [wandb_run.py:_console_start():1980] atexit reg
2023-01-20 19:03:21,565 INFO    MainThread:92795 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-01-20 19:03:21,566 INFO    MainThread:92795 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-01-20 19:03:21,566 INFO    MainThread:92795 [wandb_run.py:_redirect():1925] Redirects installed.
2023-01-20 19:03:21,566 INFO    MainThread:92795 [wandb_init.py:init():765] run started, returning control to user process
2023-01-20 19:03:21,568 INFO    MainThread:92795 [wandb_init.py:_pause_backend():389] pausing backend
2023-01-20 19:03:21,568 INFO    MainThread:92795 [jupyter.py:save_ipynb():378] not saving jupyter notebook
